,basy_yydj,basy_ssjczbm1_for_str_6,age_group,AGE-HAOCAI-only_operation-6-E,AGE-JCJY-only_operation-6-E,AGE-YP-only_operation-6-E,AGE-ZFY-only_operation-6-E,记录条数-only_operation-6
0,1,,0,501.26489552238803,1244.4044776119404,1560.3748955223882,8383.569611940298,335
1,1,,1,5617.989857142857,1506.9185714285716,1452.2265714285713,13429.754714285713,70
2,1,,2,4288.993434343434,1302.9669696969697,1959.5020202020203,12424.585353535353,198
3,1,,3,4077.0891054313097,1492.0312779552714,2824.6947603833864,14011.629392971246,313
4,1,,4,3832.175463510848,1492.3980078895465,2884.861893491124,13645.112564102565,507
5,1,,5,3131.3791860465117,1551.883546511628,3143.92125,13741.72168604651,1032
6,1,,6,1395.8008408796895,1592.1909702457958,3638.9896507115136,12071.16998706339,773
7,1,,8,831.3148019323671,1649.5428405797102,3921.93547826087,11335.491352657005,1035
8,1,,9,537.246927592955,1797.65728962818,4303.6980724070445,13039.603864970646,1022
84,1,03.310,5,2615.7383333333332,1265.0875,5809.300416666666,15896.352083333333,24
92,1,03.530,5,23513.074666666667,2528.6259999999997,3622.241666666667,35049.776666666665,30
101,1,03.910,2,503.5751724137931,1814.5344827586207,812.4355172413793,13720.508965517241,29
102,1,03.910,3,566.3225,1724.8642857142856,1123.6539285714287,14870.22892857143,28
126,1,04.2x0,4,2274.9626315789474,1433.3105263157895,1374.1884210526316,8424.845789473684,38
127,1,04.2x0,5,1770.91175,1516.84125,1334.899375,7597.87825,80
128,1,04.2x0,6,1885.2099999999998,1534.075,1274.345,7739.546071428572,28
129,1,04.2x0,8,2598.466,1986.1733333333332,957.986,8992.092,30
146,1,04.490,5,5162.431666666666,1595.7625,4092.6241666666665,17034.8825,24
164,1,05.0x0,2,1192.075909090909,2043.75,817.9090909090909,17901.32590909091,22
248,1,09.810,5,774.5324528301887,645.9924528301887,524.5290566037736,3733.0003773584904,53
249,1,09.810,6,962.6035714285714,589.3714285714285,569.5490476190477,3894.0942857142854,42
250,1,09.810,8,1099.0866666666666,690.1625,456.3879166666666,4314.280833333333,24
270,1,11.320,5,1079.821081081081,470.75270270270266,143.63486486486485,2548.141891891892,37
271,1,11.320,6,1474.9742592592593,450.6666666666667,193.50425925925924,3016.4574074074076,54
272,1,11.320,8,1368.5347674418604,468.0790697674419,209.61767441860465,3049.0153488372093,86
277,1,11.390,5,1114.9298214285714,578.7714285714286,201.98125000000002,3378.6124999999997,56
278,1,11.390,6,797.0879012345679,580.3512345679012,216.22061728395062,2895.941481481482,81
279,1,11.390,8,666.1741538461538,517.526923076923,176.04784615384617,2583.294307692308,65
308,1,13.410,4,6731.594347826088,807.6633695652174,212.55902173913043,9968.662717391304,92
309,1,13.410,5,5101.58821299639,729.6659025270758,214.44940433212997,8408.168483754513,554
310,1,13.410,6,3443.5103183962265,740.3762323113208,213.23068396226415,6511.118048349057,1696
311,1,13.410,8,2975.915955746773,722.4061954517516,205.72708051628766,5946.203205285802,3254
312,1,13.410,9,2807.993197519929,738.4591319751993,201.48943312666077,5732.993525243579,1129
318,1,13.590,8,2258.3533333333335,645.4266666666667,241.16733333333335,4487.934,45
323,1,13.700,5,2601.382888888889,647.7777777777778,196.626,4786.705555555555,45
324,1,13.700,6,2247.278790322581,645.9967741935483,193.4798387096774,4437.265080645161,124
325,1,13.700,8,2304.3415277777776,646.5351388888889,202.46364583333332,4532.566354166667,288
326,1,13.700,9,2205.237522123894,628.0805309734512,206.53982300884957,4381.474690265487,113
