,basy_zyzd_jbbm_for_str_9,basy_yydj,age_group,AGE-HAOCAI-9-only_disease-E,AGE-JCJY-9-only_disease-E,AGE-YP-9-only_disease-E,AGE-ZFY-9-only_disease-E,记录条数-9-only_disease
69,A04.900x0,6,0,299.16066666666666,1557.3355555555556,718.4704444444444,3745.0466666666666,45
93,A08.000,6,0,307.0202197802198,1743.5201098901098,734.6913186813188,4396.373956043956,91
148,A09.004,6,0,371.90814814814814,1449.9662962962962,1086.72,4615.357777777778,27
276,A15.000,6,5,754.2522916666667,4752.919791666667,3606.2989583333333,11782.186458333332,48
277,A15.000,6,6,996.2438235294118,5068.8388235294115,4309.400294117647,14375.036176470589,34
278,A15.000,6,8,485.3146666666667,4677.386666666667,2668.3326666666667,10358.005333333333,30
293,A15.000x0,5,5,379.95695652173913,2860.6860869565216,2104.344347826087,7727.548260869565,23
297,A15.000x0,6,1,1011.428125,8292.24375,8130.605625,22707.744375,32
298,A15.000x0,6,2,992.4074257425743,6307.463861386138,6418.824554455446,18224.541188118812,101
299,A15.000x0,6,3,1253.2417307692308,8037.537692307693,8972.677884615385,24038.543076923077,52
300,A15.000x0,6,4,1335.7279999999998,6603.191666666667,7303.812833333333,20330.412333333334,60
301,A15.000x0,6,5,776.0830000000001,6915.576588235294,6255.921352941175,18488.32,170
302,A15.000x0,6,6,591.9620895522388,6568.234776119402,5929.792388059702,17838.840522388058,134
303,A15.000x0,6,8,580.3695535714286,6880.589821428571,4991.763035714285,17266.256339285716,112
304,A15.000x0,6,9,1000.8425806451612,7431.729032258065,7319.163870967742,22404.89677419355,31
336,A15.007,6,5,441.525,4354.003846153846,3677.6034615384615,11896.341923076923,26
337,A15.007,6,6,361.34576923076924,3370.308076923077,2769.6684615384615,8918.65,26
381,A15.200,6,4,5694.977096774194,8157.040645161291,5611.2374193548385,28954.34064516129,31
382,A15.200,6,5,5861.880322580645,6375.621935483871,2873.092903225807,20719.02806451613,31
399,A15.201,6,5,14608.902399999999,8860.0632,5504.53,40297.9936,25
435,A15.300,6,2,524.6917857142857,4221.528571428572,1974.0310714285715,9162.937857142857,28
438,A15.300,6,5,921.5706060606061,5815.933333333333,4051.4093939393942,15053.610303030304,33
439,A15.300,6,6,502.18863636363636,4132.604545454546,3094.666818181818,10552.308181818182,22
440,A15.300,6,8,734.2242307692306,6357.369230769231,3845.1953846153847,15752.289615384614,26
443,A15.300v0,6,2,309.62333333333333,3489.1185185185186,1613.289259259259,8485.008888888888,27
567,A16.000,6,2,480.78799999999995,3244.4085714285716,2261.782285714286,8691.857142857143,35
568,A16.000,6,3,581.7486363636364,4663.917272727273,2085.699090909091,10100.06090909091,22
570,A16.000,6,5,696.7776086956521,4654.180434782608,2438.36,10887.396304347825,46
571,A16.000,6,6,862.9046153846155,5511.429615384616,2687.733846153846,12173.338846153845,26
572,A16.000,6,8,531.021923076923,5645.923846153846,4144.573076923077,13639.601538461538,26
624,A16.008,6,1,612.04,2663.1428571428573,1282.8214285714287,7507.966785714286,28
625,A16.008,6,2,831.3568965517242,3093.927586206896,1824.06,9942.696206896551,29
716,A16.200,6,5,1058.0858620689655,4535.493793103448,2441.623103448276,10488.908965517241,29
740,A16.200x0,5,3,593.0613043478261,3168.8608695652174,2706.6934782608696,9392.536086956521,23
741,A16.200x0,5,4,947.3430769230769,3349.2038461538464,2193.5584615384614,10304.516153846153,26
742,A16.200x0,5,5,617.3111320754717,4415.901886792452,3172.5269811320754,12212.261509433962,53
743,A16.200x0,5,6,507.52250000000004,3813.3575,2836.5597222222223,10448.029722222222,36
744,A16.200x0,5,8,934.4495555555557,4044.347111111111,2605.711111111111,11003.380888888889,45
747,A16.200x0,6,1,567.5166666666668,5941.883333333334,3557.037380952381,13752.36761904762,126
748,A16.200x0,6,2,1014.658309178744,6384.962753623188,4388.445845410628,15724.115942028986,207
749,A16.200x0,6,3,697.8484552845529,5882.09674796748,4304.127642276422,14688.34243902439,123
750,A16.200x0,6,4,1425.3976129032258,6281.383225806452,4226.726387096774,15955.49606451613,155
751,A16.200x0,6,5,1161.2176131687243,6509.24304526749,4347.27913580247,15983.251275720166,243
752,A16.200x0,6,6,1349.482911392405,6916.918481012659,4711.695759493671,17666.52259493671,158
753,A16.200x0,6,8,667.4896688741723,6545.492715231789,5498.49761589404,17565.15238410596,151
754,A16.200x0,6,9,518.9687301587302,6554.407936507937,5503.125714285714,18052.66492063492,63
869,A16.500x0,6,1,488.3014285714286,4513.1809523809525,2134.773333333333,10216.229047619048,21
870,A16.500x0,6,2,885.4122580645162,4669.03193548387,2221.3237096774196,11414.85935483871,62
871,A16.500x0,6,3,675.1973076923077,5719.817307692308,1726.2059615384617,11497.422884615384,52
872,A16.500x0,6,4,900.6297872340425,6097.227659574468,2428.560425531915,13366.664042553191,47
